     12 1.A.11.1.4	ammonia
      8 3.A.7.13.1	protein polypeptide chain
      4 3.A.7.15.1	protein polypeptide chain
      1 3.A.7.16.1	protein|deoxyribonucleic acid
     23 3.A.7.18.1	toxin
      5 3.A.7.7.1	deoxyribonucleic acid
      3 3.A.7.9.1	protein polypeptide chain
      2 3.A.8.1.1	protein polypeptide chain
     12 3.A.9.1.1	protein polypeptide chain
      1 3.B.1.1.2	sodium(1+)
     19 3.B.1.1.5	sodium(1+)
      1 3.B.1.1.6	sodium(1+)
      3 3.B.1.1.7	sodium(1+)
     38 3.D.10.1.4	succinate(2-)|1,4-benzoquinone
      1 3.D.1.1.1	hydron
      1 3.D.1.2.1	hydron
      3 3.D.1.3.1	hydron
      5 3.D.1.4.1	hydron
      1 3.D.1.4.3	hydron
     14 3.D.1.5.1	hydron
     19 3.D.1.6.1	hydron
     26 3.D.1.8.1	hydron
     38 3.D.1.8.2	proton
     17 3.D.1.9.1	potassium(1+)|hydron
     10 3.D.1.9.2	hydron
      2 3.D.1.9.3	hydron
      2 3.D.2.3.1	hydron
      1 3.D.3.5.1	hydron
      8 3.D.3.5.3	hydron
      1 3.D.3.5.4	hydron
      3 3.D.3.5.5	hydron
      1 3.D.3.5.6	hydron|electron
      4 3.D.4.1.1	hydron
     13 3.D.4.3.1	hydron
      5 3.D.4.4.3	hydron
      6 3.D.4.4.4	hydron
      4 3.D.4.6.1	hydron
      3 3.D.4.6.2	hydron
      2 3.D.5.1.1	sodium(1+)
      2 3.D.7.2.1	hydron
     59 3.D.9.1.1	hydron
     36 3.D.9.1.2	proton
      1 4.A.2.1.26	fructose
      1 4.A.6.1.29	glucosamine|N-acetyl-beta-D-glucosamine|N-acetyl-D-mannosamine|glucose|D-mannopyranose|fructose
      1 4.C.1.1.10	fatty acid
      1 4.C.1.1.14	fatty acid
      1 4.C.1.1.1	fatty acid
      7 4.C.1.1.4	fatty acid
     18 4.C.1.1.6	(E)-4-(trimethylammonio)but-2-enoate|carnitinium
      3 4.C.1.1.7	fatty acid
      1 4.D.1.1.10	hyaluronate
      3 4.D.1.1.2	glycosyl group
     13 4.D.1.1.3	UDP-N-acetyl-alpha-D-glucosamine|N-acetyl-beta-D-glucosamine
      2 4.D.1.1.5	hyaluronate
      5 4.D.1.3.3	glycosyl group
      3 4.D.1.3.4	glycosyl group
      6 4.D.2.1.6	glycosyl group
     15 4.D.3.1.10	glycosyl group
      1 4.D.3.1.13	(1->4)-beta-D-glucan
      1 4.D.3.1.2	(1->4)-beta-D-glucan
      1 4.D.3.1.3	glycosyl group
     15 4.F.1.3.1	phosphate(3-)
      2 4.F.1.3.2	phosphate(3-)
     10 5.A.1.2.1	electron
      2 5.A.1.2.7	electron
     22 5.A.1.2.9	carbohydrate|electron
     55 5.B.14.1.1	electron
      2 5.B.6.1.1	electron
      1 5.B.6.1.3	electron
      1 9.A.18.1.5	peptide
      8 9.A.47.2.1	protein polypeptide chain
      1 9.A.60.1.1	small nuclear RNA
      2 9.A.8.1.12	iron(2+)
      1 9.A.8.1.1	iron(2+)
      1 9.A.8.1.2	iron(2+)
      1 9.A.8.1.9	iron(2+)
      2 9.B.104.1.4	serine
      7 9.B.109.1.1	molecule
      3 9.B.109.1.2	molecule
      7 9.B.1.1.6	protein polypeptide chain
      4 9.B.20.1.1	magnesium(2+)
      1 9.B.20.1.2	magnesium(2+)
      1 9.B.20.1.4	magnesium(2+)
      1 9.B.280.1.1	methane
      3 9.B.355.1.1	protein
      2 9.B.62.1.5	copper(2+)
      4 9.B.62.2.1	copper(2+)
      1 9.B.62.2.2	copper(2+)
      1 9.B.62.3.2	copper(2+)
      1 9.B.75.2.1	alpha-amino acid|ethanol
