1.A.11.1.4	ammonia
2.A.95.1.7	alpha-amino acid
3.A.10.1.15	hydron
3.A.10.1.5	sodium(1+)
3.A.10.2.4	sodium(1+)
3.A.10.3.1	hydron
3.A.1.10.1	iron(3+)
3.A.1.102.1	lipooligosaccharide
3.A.1.10.2	iron(3+)
3.A.1.10.4	iron(III) hydroxamate
3.A.1.105.11	lantibiotic
3.A.1.105.12	phosphonate(2-)
3.A.1.105.1	doxorubicin|daunorubicin
3.A.1.105.2	oleandomycin
3.A.1.105.8	triterpene|hop-22(29)-ene
3.A.1.11.2	putrescine
3.A.1.11.3	mannopine
3.A.11.1.4	single-stranded DNA polynucleotide
3.A.1.115.1	sodium(1+)
3.A.1.115.2	sodium atom
3.A.1.1.15	alpha,alpha-trehalose
3.A.1.1.16	maltooligosaccharide
3.A.1.1.17	alpha,alpha-trehalose|maltose|sucrose
3.A.1.1.19	6-O-alpha-D-glucopyranosyl-D-fructofuranose
3.A.1.120.5	acetate
3.A.1.1.22	alpha,alpha-trehalose|maltose|alpha-maltotriose|maltotetraose
3.A.1.1.25	alpha,alpha-trehalose|maltose|sucrose|6-O-alpha-D-glucopyranosyl-D-fructofuranose
3.A.1.12.5	glycine betaine|proline
3.A.1.131.1	bacitracin
3.A.1.132.1	exopolysaccharide|macromolecule
3.A.1.1.34	arabinoside
3.A.1.1.35	glycerol
3.A.1.1.37	arabinoside
3.A.1.14.18	ferroheme b
3.A.1.1.41	alpha,alpha-trehalose
3.A.1.14.25	ferroheme b
3.A.1.14.26	cyanocob(III)alamin
3.A.1.14.2	ferrienterobactin(3-)
3.A.1.1.46	glucoside
3.A.1.14.9	corrinoid
3.A.1.1.49	D-mannitol|glucitol|arabinitol
3.A.1.15.11	zinc(2+)
3.A.1.15.12	iron(2+)
3.A.1.15.14	manganese(2+)
3.A.1.15.15	manganese(2+)
3.A.1.1.51	alpha,alpha-trehalose|alpha-cyclodextrin|maltoheptaose heptasaccharide|maltose|alpha-maltotriose|maltotetraose|maltopentaose pentasaccharide
3.A.1.15.1	manganese(2+)
3.A.1.15.20	iron(2+)|manganese(2+)
3.A.1.1.52	esculin|maltose|sucrose|beta-glucoside|glucose|fructose
3.A.1.15.2	manganese(2+)|zinc(2+)
3.A.1.15.5	zinc(2+)
3.A.1.15.6	copper(2+)|iron(2+)|zinc(2+)
3.A.1.15.8	iron(2+)|manganese(2+)|zinc(2+)
3.A.1.16.2	nitrite|cyanate
3.A.1.17.2	sulfonate
3.A.1.17.5	phthalate(2-)
3.A.1.17.6	pyrimidine
3.A.1.1.7	alpha,alpha-trehalose|maltose
3.A.1.18.3	cobalt(2+)
3.A.1.20.1	iron(3+)
3.A.1.20.2	hexose phosphate
3.A.1.20.3	iron(3+)
3.A.1.20.4	glycerol 1-phosphodiester(1-)
3.A.1.2.10	adenosine|guanosine|2'-deoxyguanosine|inosine|xanthosine
3.A.1.2.12	deoxyribonucleoside
3.A.1.2.20	xylose|glucose
3.A.1.2.24	UDP-sugar
3.A.1.2.2	arabinose
3.A.1.2.31	purine
3.A.1.23.2	cobalt(2+)
3.A.1.23.8	cobalt(2+)|nickel(2+)
3.A.1.25.4	biotin
3.A.1.25.6	riboflavin
3.A.1.26.1	thiazole
3.A.1.26.5	thiamine(1+)
3.A.1.26.9	folic acid
3.A.1.2.7	beta-D-ribopyranose|mannose|fructose
3.A.1.28.2	folic acid
3.A.1.2.9	alpha-L-rhamnopyranose
3.A.1.3.10	7,8-diaminononanoic acid|cystine
3.A.1.32.3	cobalamin
3.A.1.3.24	alpha-amino acid
3.A.1.3.27	lysine|arginine|histidine
3.A.1.3.2	glutamine
3.A.1.33.1	5'-S-methyl-5'-thioadenosine
3.A.1.4.10	L-threonine|L-isoleucine|alanine|serine|leucine|valine
3.A.1.4.12	2-oxopentanoate|pyruvate|2-oxobutanoate|3-methyl-2-oxovalerate
3.A.1.4.14	methionine|leucine|valine|isoleucine|branched-chain amino acid
3.A.1.4.1	L-isoleucine|leucine|valine|phenylalanine|tyrosine
3.A.1.4.2	glycine|alanine|proline|serine|histidine|leucine
3.A.1.4.4	urea
3.A.1.4.5	urea|hydroxyurea|thiourea
3.A.1.4.6	alpha-amino acid zwitterion
3.A.1.4.8	L-threonine|L-isoleucine|alanine|serine|leucine|valine
3.A.1.5.11	glutathione
3.A.1.5.12	rhamnose
3.A.1.5.14	cellobiose
3.A.1.5.15	mannoside|mannose
3.A.1.5.17	L-proline betaine
3.A.1.5.1	oligopeptide
3.A.1.5.20	oligopeptide
3.A.1.5.22	peptide
3.A.1.5.23	ethylenediaminetetraacetic acid
3.A.1.5.26	glutathione|bradykinin
3.A.1.5.27	glutathione
3.A.1.5.2	dipeptide|5-aminolevulinic acid|ferroheme b
3.A.1.5.35	peptide
3.A.1.5.38	L-alanyl-L-alanine
3.A.1.5.39	tripeptide|dipeptide
3.A.15.4.1	protein polypeptide chain
3.A.1.5.45	peptide
3.A.1.5.46	peptide
3.A.1.5.47	peptide
3.A.16.1.1	protein
3.A.16.1.2	protein
3.A.16.1.3	protein
3.A.16.1.5	protein
3.A.1.6.2	tungstate
3.A.1.6.4	vanadium oxoanion
3.A.1.6.5	molybdate|tungstate
3.A.1.6.6	molybdate|tungstate
3.A.1.6.8	molybdate|tungstate
3.A.1.7.1	phosphate(3-)
3.A.1.7.2	phosphate(3-)
3.A.18.1.1	messenger RNA
3.A.19.1.3	protein polypeptide chain
3.A.19.1.4	protein
3.A.20.1.5	protein polypeptide chain
3.A.2.2.1	hydron
3.A.2.2.2	sodium(1+)
3.A.2.2.6	hydron
3.A.2.2.7	hydron
3.A.2.2.8	hydron
3.A.2.3.1	hydron
3.A.2.3.2	sodium(1+)|hydron
3.A.2.3.3	hydron
3.A.24.3.1	zinc(2+)|protein polypeptide chain
3.A.25.2.1	peptide
3.A.29.1.2	protein
3.A.31.1.1	protein
3.A.3.2.21	calcium(2+)
3.A.3.3.4	hydron
3.A.3.4.2	magnesium(2+)
3.A.3.4.5	magnesium(2+)
3.A.3.5.18	copper(1+)
3.A.3.5.24	copper cation
3.A.3.5.27	copper(1+)
3.A.3.5.5	copper(1+)|silver(1+)
3.A.3.5.7	copper(1+)|silver(1+)
3.A.3.7.1	potassium(1+)
3.A.3.7.2	potassium atom
3.A.4.1.2	arsenopyrite
3.A.5.7.2	protein polypeptide chain
3.A.5.9.1	protein polypeptide chain
3.A.7.11.1	deoxyribonucleic acid
3.A.7.13.1	protein polypeptide chain
3.A.7.15.1	protein polypeptide chain
3.A.7.16.1	protein|deoxyribonucleic acid
3.A.7.18.1	toxin
3.A.7.2.1	protein polypeptide chain
3.A.7.7.1	deoxyribonucleic acid
3.A.9.1.1	protein polypeptide chain
3.A.9.1.2	protein polypeptide chain
3.B.1.1.1	sodium(1+)
3.B.1.1.5	sodium(1+)
3.B.1.1.7	sodium(1+)
3.D.10.1.3	hydron
3.D.10.1.4	succinate(2-)|1,4-benzoquinone
3.D.10.1.6	hydron
3.D.1.1.1	hydron
3.D.1.2.1	hydron
3.D.1.3.1	hydron
3.D.1.4.1	hydron
3.D.1.4.4	hydron
3.D.1.5.1	hydron
3.D.1.6.1	hydron
3.D.1.6.4	hydron
3.D.1.8.1	hydron
3.D.1.8.2	proton
3.D.1.9.1	potassium(1+)|hydron
3.D.1.9.2	hydron
3.D.3.1.1	hydron
3.D.3.5.1	hydron
3.D.3.5.3	hydron
3.D.3.5.5	hydron
3.D.4.11.1	hydron
3.D.4.1.2	hydron
3.D.4.3.4	hydron
3.D.4.4.3	hydron
3.D.4.4.5	hydron
3.D.4.6.1	hydron
3.D.4.9.1	hydron
3.D.7.1.1	hydron
3.D.7.1.3	electron
3.D.7.2.1	hydron
3.D.7.2.2	hydron
3.D.8.1.1	hydron
3.D.9.1.1	hydron
3.D.9.1.2	proton
4.A.2.1.17	fructose
4.A.6.1.29	glucosamine|N-acetyl-beta-D-glucosamine|N-acetyl-D-mannosamine|glucose|D-mannopyranose|fructose
4.C.1.1.15	dodecanoic acid
4.C.1.1.4	fatty acid
4.C.1.1.6	(E)-4-(trimethylammonio)but-2-enoate|carnitinium
4.C.1.1.7	fatty acid
4.D.1.1.3	UDP-N-acetyl-alpha-D-glucosamine|N-acetyl-beta-D-glucosamine
4.D.1.3.3	glycosyl group
4.D.2.1.6	glycosyl group
4.D.3.1.10	glycosyl group
4.D.3.1.2	(1->4)-beta-D-glucan
4.F.1.3.1	phosphate(3-)
4.F.1.3.2	phosphate(3-)
5.A.1.2.3	electron
5.A.1.2.9	carbohydrate|electron
5.A.3.10.1	electron
5.A.3.11.1	electron
5.A.3.1.1	electron
5.A.3.1.2	electron
5.A.3.3.2	electron
5.A.3.3.3	electron
5.A.3.5.1	electron
5.A.3.5.2	electron
5.A.3.6.1	electron
5.A.3.8.1	electron
5.A.3.8.2	electron
5.A.3.9.1	electron
5.B.12.1.1	electron
5.B.14.1.1	electron
5.B.5.1.3	electron
5.B.6.1.1	electron
8.A.51.1.3	dipeptide
9.A.2.1.1	hydrogencarbonate|carbonic acid|carbon dioxide
9.A.41.1.2	[3)-beta-D-galactopyranuronosyl-(1->3)-2-acetamido-4-amino-2,4,6-trideoxy-alpha-D-glucopyranosyl-(1->4)-beta-D-galactopyranurosyl-(1->]n
9.A.8.1.12	iron(2+)
9.A.8.1.1	iron(2+)
9.A.8.1.3	iron(2+)
9.A.8.1.6	manganese(2+)
9.A.8.1.9	iron(2+)
9.B.10.1.1	zinc(2+)
9.B.1.1.6	protein polypeptide chain
9.B.14.2.5	ferroheme b
